Item_Type,Brand_Code,Model_Code,Compatible_Models,Part_Cat_Code,Var_Code,Product_ID,Barcode,Product_Name,Category,Brand,Description,Requires_Serial,Original_Cost,Opening_Stock,Current_Stock,Average_Cost,Sale_Price,Wholesale_Price,Reorder_Level,Warranty_Period,Shelf_Location,Status,Images,Stock_View
Spare Part,RM,MI4,No,TL,"ORG , WHT",RM-MI4-TL-ORG -WHT,RM-MI4-TL-ORG -WHT,"RM MI4 - NO TL (ORG , WHT)",TL,Xiaomi,ညည,,25000,3,2,25000,29000,28000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,MI4,NO,TL,"ORG , BLK",RM-MI4-TL-ORG -BLK,RM-MI4-TL-ORG -BLK,"RM MI4 - NO TL (ORG , BLK)",TL,Xiaomi,,,25000,3,3,25000,29000,28000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,4x,NO,TL,"AAA , BLK",RM-4x-TL-AAA -BLK,RM-4x-TL-AAA -BLK,"RM 4X - NO TL (AAA , BLK)",TL,Xiaomi,,,30000,1,1,30000,35000,35000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,1S,NO,TL,"ORG , BLK",RM-1S-TL-ORG -BLK,RM-1S-TL-ORG -BLK,"RM 1S - NO TL (ORG , BLK)",TL,Xiaomi,,,20000,2,2,20000,27000,29000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,MAX2,NO,TL,WHT,RM-MAX2-TL-WHT,RM-MAX2-TL-WHT,RM MAX2 - NO TL (WHT),TL,Xiaomi,,,56000,1,1,56000,62000,62000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,5A,NO,TL,"AAA , BLK",RM-5A-TL-AAA -BLK,RM-5A-TL-AAA -BLK,"RM 5A - NO TL (AAA , BLK)",TL,Xiaomi,,,27000,1,0,21000,35000,35000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,5plus,NO,TL,"ORG , WHT",RM-5plus-TL-ORG -WHT,RM-5plus-TL-ORG -WHT,"RM 5PLUS - NO TL (ORG , WHT)",TL,Xiaomi,,,28500,1,1,31083,37000,34000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,6/6A,NO,TL,BLK,RM-6/6A-TL-BLK,RM-6/6A-TL-BLK,RM 6/6A - NO TL (BLK),TL,Xiaomi,,,26500,2,12,27406,33000,32000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,✅ ပုံမှန်
Spare Part,RM,6pro,NO,TL,BLK,RM-6pro-TL-BLK,RM-6pro-TL-BLK,RM 6PRO - NO TL (BLK),TL,Xiaomi,,,39000,2,2,39000,41000,39000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,7A,NO,TL,"ORG , BLK",RM-7A-TL-ORG -BLK,RM-7A-TL-ORG -BLK,"RM 7A - NO TL (ORG , BLK)",TL,Xiaomi,,,25500,1,6,26550,33000,32000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
