case_id,role,store,shift,viewport,status,expected,actual,record_ids,evidence,notes
ENV-01,DevOps,-,-,-,PASS,Verify baseline environment and git status,PHP 8.2.12 MariaDB 10.4.32 Laravel 12.64.0 HEAD e7fad0e91e4a89adb2c65c8c90aa451f53088ef2,GIT:e7fad0e9,console:php-mariadb,Timezone Asia/Yangon verified
ENV-02,DevOps,-,-,-,PASS,Create isolated test DB datapos_browser_uat_20260919_01 and run migrations,Dedicated DB datapos_browser_uat_20260919_01 created and all 120+ migrations passed,DB:datapos_browser_uat_20260919_01,console:migrate-force,Isolation boundary verified
ENV-03,DevOps,-,-,-,PASS,Generate capability and route mapping,capabilities.csv generated covering core and conditional features,MAP:capabilities.csv,docs/uat/UAT-20260919-01/capabilities.csv,Baseline capability catalogued
SET-01,Platform Owner,shwe-pyi-thit-mobile,-,1280x720,PASS,Create store spt-mobile with MAIN & AUX warehouses and payment methods,Store 'ရွှေပြည်သစ် မိုဘိုင်းနှင့် အီလက်ထရွန်းနစ်' created with slug shwe-pyi-thit-mobile MAIN and AUX warehouses Cash and KPay payment methods,STORE:1,browser:set01_create_store,Store provisioning verified
SET-02,Store Owner,shwe-pyi-thit-mobile,-,-,PASS,Create staff accounts with roles and Store B isolation account,Manager Ko Thant (09200000011) and Cashier Ma Hla Hla (09200000022) created; Store B staff Daw Mya (09960000001) created,USERS:2;3;4;5,console:users-created,Staff role mapping verified
SET-03,Store Manager,shwe-pyi-thit-mobile,-,-,PASS,Configure Master Data tabs for categories brands shelves warranties return policies variant presets,Phone Accessories and children (CHG GLS PB) Brands (RMX AAPL ANK) Shelves (A-01 B-02) Warranties (6M 1Y) Policies (REF7 NORET EXCH) Presets (Color Storage),PRESETS:categories-brands-shelves,console:presets-verified,Master data configured
SET-04,Store Manager,shwe-pyi-thit-mobile,-,-,PASS,Create CHARGER GLASS POWERBANK products with exact pricing and tracking,CHARGER (25000/18000 cost 15000) GLASS (5000/2500 cost 1500) POWERBANK (55000/42000 cost 35000 serial-tracked) created with zero tax baseline,PROD:1;2;3,console:products-created,Products baseline catalogued
INV-01,Store Manager,shwe-pyi-thit-mobile,-,-,PASS,Enter opening stock for CHARGER 20 x 15000 = 300000 and GLASS 50 x 1500 = 75000 in MAIN warehouse,Request OSR-20260919-0001 approved; Movements 1 & 2 posted; MAIN balances CHARGER 20 GLASS 50 total 375000 MMK,OSR:OSR-20260919-0001;MOV:1;2,db:inventory_movements,Opening stock posted
PUR-01,Store Manager,shwe-pyi-thit-mobile,-,-,PASS,Create supplier Mandalay Electronics and purchase 10 POWERBANK x 35000 = 350000 with 200000 SAFE payment and 150000 payable,PO PO-20260919-0001 received via GRV-20260919-0001; stock +10 POWERBANK in MAIN; payable 150000; 10 serials registered,PO:PO-20260919-0001;GRV:GRV-20260919-0001,db:purchase_orders,Goods receipt posted
INV-02,Store Manager,shwe-pyi-thit-mobile,-,-,PASS,Transfer 5 CHARGER from MAIN to AUX warehouse,Transfer TRF-20260919-0001 completed (pending -> in_transit -> completed); MAIN 15 AUX 5 total 20,TRF:TRF-20260919-0001,db:stock_transfers,Warehouse transfer completed
